ID,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,MONTHS_BALANCE,STATUS,Target,FLAG_CAR,FLAG_REALTY
5008936,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008937,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008938,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008939,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008940,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008941,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008942,0,1575000,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,High skill tech staff,20,-28,X,0,0,0
5008943,0,1575000,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,High skill tech staff,20,0,X,0,0,0
5008944,0,1575000,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,High skill tech staff,20,-8,X,0,0,0
5008945,0,1575000,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,High skill tech staff,20,-15,X,0,0,0
5008946,0,1575000,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,High skill tech staff,20,-33,X,0,0,0
5008947,0,1350000,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,1,1,1,0,Drivers,20,0,X,0,0,1
5008948,0,1350000,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,1,1,1,0,Drivers,20,-5,X,0,0,1
5008949,0,1350000,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,1,1,1,0,Drivers,20,0,X,0,0,1
5008950,0,1350000,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,1,1,1,0,Drivers,20,0,X,0,0,1
5008951,1,2250000,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,1,0,0,0,,30,0,C,0,0,1
5008952,1,2250000,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,1,0,0,0,,30,-9,X,0,0,1
5008953,1,2250000,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,1,0,0,0,,30,0,X,0,0,1
5008954,1,2250000,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,1,0,0,0,,30,0,0,0,0,1
5008955,0,1350000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,20,0,0,0,1,1
5008956,0,1350000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,20,0,C,0,1,1
5008957,0,1350000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,20,-12,C,0,1,1
5008958,0,1350000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,20,0,0,0,1,1
5008959,0,1350000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,20,0,C,0,1,1
5008960,0,1350000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,20,0,C,0,1,1
5008962,0,1350000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,20,0,C,0,1,1
5008963,0,1350000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,20,0,C,0,1,1
5008966,0,1575000,Working,Secondary / secondary special,Married,House / apartment,-16027,-889,1,0,1,0,,20,0,0,0,0,1
5008967,0,1575000,Working,Secondary / secondary special,Married,House / apartment,-16027,-889,1,0,1,0,,20,0,0,0,0,1
5008971,0,1575000,Working,Secondary / secondary special,Married,House / apartment,-16027,-889,1,0,1,0,,20,-51,0,0,0,1
5008973,0,1575000,Working,Secondary / secondary special,Married,House / apartment,-16027,-889,1,0,1,0,,20,0,0,0,0,1
5008974,0,1125000,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,1,0,0,0,,20,-47,0,0,0,1
5008975,0,1125000,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,1,0,0,0,,20,-28,X,0,0,1
5008976,0,1125000,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,1,0,0,0,,20,0,0,0,0,1
5008977,0,1125000,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,1,0,0,0,,20,0,0,0,0,1
5008978,0,1125000,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,1,0,0,0,,20,-17,X,0,0,1
5008979,0,1125000,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,1,0,0,0,,20,0,C,0,0,1
5008980,0,1125000,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,1,0,0,0,,20,-8,C,0,0,1
5008981,0,1125000,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,1,0,1,0,Drivers,20,0,X,0,1,1
5008983,0,1125000,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,1,0,1,0,Drivers,20,-47,X,0,1,1
5008984,0,1125000,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,1,0,1,0,Drivers,20,0,C,0,1,1
5008986,0,1125000,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,1,0,1,0,Drivers,20,0,X,0,1,1
5008987,0,1125000,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,1,0,1,0,Drivers,20,0,C,0,1,1
5008988,0,1125000,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,1,0,1,0,Drivers,20,0,X,0,1,1
5008991,0,2700000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,1,1,1,0,Cleaning staff,10,-2,X,0,1,1
5008992,0,2700000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,1,1,1,0,Cleaning staff,10,0,C,0,1,1
5008993,0,2700000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,1,1,1,0,Cleaning staff,10,0,0,0,1,1
5008994,0,2700000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,1,1,1,0,Cleaning staff,10,0,0,0,1,1
5008995,0,2700000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,1,1,1,0,Cleaning staff,10,-10,X,0,1,1
5008998,0,2700000,Working,Higher education,Married,House / apartment,-10628,-828,1,0,0,1,Managers,20,-1,X,0,1,1
5008999,0,2700000,Working,Higher education,Married,House / apartment,-10628,-828,1,0,0,1,Managers,20,-21,X,0,1,1
5009000,0,1575000,Working,Secondary / secondary special,Married,House / apartment,-9927,-828,1,0,0,0,Drivers,20,0,C,0,1,1
5009001,0,1665000,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,20,-34,X,0,0,1
5009002,0,1665000,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,20,-38,X,0,0,1
5009005,0,1665000,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,20,-29,X,0,0,1
5009006,0,1665000,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,20,-35,X,0,0,1
5009007,0,1665000,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,20,-49,X,0,0,1
5009008,0,1665000,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,20,-3,X,0,0,1
5009009,0,1665000,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,20,-22,X,0,0,1
5009010,0,1665000,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,20,-6,X,0,0,1
5009012,0,1665000,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,20,0,0,0,0,1
5009014,0,1665000,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,20,-29,X,0,0,1
5009016,2,2160000,State servant,Higher education,Married,House / apartment,-15444,-3112,1,0,0,1,,40,0,C,0,0,1
5009018,2,2160000,State servant,Higher education,Married,House / apartment,-15444,-3112,1,0,0,1,,40,-31,C,0,0,1
5009019,2,2160000,State servant,Higher education,Married,House / apartment,-15444,-3112,1,0,0,1,,40,0,0,0,0,1
5009020,2,2160000,State servant,Higher education,Married,House / apartment,-15444,-3112,1,0,0,1,,40,-8,C,0,0,1
5009022,2,2160000,State servant,Higher education,Married,House / apartment,-15444,-3112,1,0,0,1,,40,-2,C,0,0,1
5009023,2,2160000,State servant,Higher education,Married,House / apartment,-15444,-3112,1,0,0,1,,40,0,C,0,0,1
5009024,2,2160000,State servant,Higher education,Married,House / apartment,-15444,-3112,1,0,0,1,,40,0,C,0,0,1
5009025,2,2160000,State servant,Higher education,Married,House / apartment,-15444,-3112,1,0,0,1,,40,0,C,0,0,1
5009027,0,2700000,Commercial associate,Secondary / secondary special,Married,House / apartment,-19861,-10843,1,0,0,1,Laborers,20,0,0,0,1,1
5009028,0,2250000,Commercial associate,Secondary / secondary special,Married,House / apartment,-14450,-2777,1,0,0,0,Laborers,20,-7,X,0,1,1
5009029,0,2250000,Commercial associate,Secondary / secondary special,Married,House / apartment,-14450,-2777,1,0,0,0,Laborers,20,0,C,0,1,1
5009031,0,3150000,Working,Secondary / secondary special,Single / not married,House / apartment,-10554,-1194,1,0,0,0,Accountants,10,0,C,0,0,1
5009032,0,3150000,Working,Secondary / secondary special,Single / not married,House / apartment,-10554,-1194,1,0,0,0,Accountants,10,0,C,0,0,1
5009033,0,2551500,Pensioner,Incomplete higher,Civil marriage,Rented apartment,-18682,365243,1,0,0,0,,20,0,X,0,0,0
5009034,0,2551500,Pensioner,Incomplete higher,Civil marriage,Rented apartment,-18682,365243,1,0,0,0,,20,-14,C,0,0,0
5009035,0,2551500,Pensioner,Incomplete higher,Civil marriage,Rented apartment,-18682,365243,1,0,0,0,,20,0,X,0,0,0
5009036,0,2551500,Pensioner,Incomplete higher,Civil marriage,Rented apartment,-18682,365243,1,0,0,0,,20,0,C,0,0,0
5009037,0,2551500,Pensioner,Incomplete higher,Civil marriage,Rented apartment,-18682,365243,1,0,0,0,,20,0,X,0,0,0
5009038,0,2551500,Pensioner,Incomplete higher,Civil marriage,Rented apartment,-18682,365243,1,0,0,0,,20,0,X,0,0,0
5009039,2,1575000,Working,Secondary / secondary special,Single / not married,House / apartment,-14326,-555,1,0,0,0,Core staff,30,0,C,0,0,1
5009040,2,1575000,Working,Secondary / secondary special,Single / not married,House / apartment,-14326,-555,1,0,0,0,Core staff,30,0,C,0,0,1
5009042,0,1485000,Working,Higher education,Married,House / apartment,-17641,-889,1,0,0,0,Core staff,20,0,X,0,0,1
